#FILE:                        13WaT18 2 K min N2 15.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 2 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   15.2.2007 12:04:57              
#CORR. FILE:                  correction 2K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             12.065                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                 N2                              
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/2.00(K/min)/800.0          
#SEGMENT:                     S1/2                            

##Temp./øC;DSC/(mW/mg)
208.85012;     0.21005
209.85012;     0.21286
210.85012;     0.21492
211.85012;     0.21782
212.85012;     0.22004
213.85012;     0.22295
214.85012;     0.22566
215.85012;     0.22814
216.85012;     0.23041
217.85012;     0.23300
218.85012;     0.23550
219.85012;     0.23829
220.85012;     0.24115
221.85012;     0.24417
222.85012;     0.24656
223.85012;     0.24909
224.85012;     0.25127
225.85012;     0.25356
226.85012;     0.25636
227.85012;     0.25925
228.85012;     0.26174
229.85012;     0.26361
230.85012;     0.26693
231.85012;     0.26986
232.85012;     0.27196
233.85012;     0.27448
234.85012;     0.27800
235.85012;     0.27967
236.85012;     0.28106
237.85012;     0.28375
238.85012;     0.28648
239.85012;     0.28821
240.85012;     0.29041
241.85012;     0.29261
242.85012;     0.29410
243.85012;     0.29702
244.85012;     0.29764
245.85012;     0.29891
246.85012;     0.30227
247.85012;     0.30377
248.85012;     0.30628
249.85012;     0.30750
250.85012;     0.30946
251.85012;     0.31220
252.85012;     0.31286
253.85012;     0.31540
254.85012;     0.31716
255.85012;     0.31906
256.85012;     0.32071
257.85012;     0.32334
258.85012;     0.32503
259.85012;     0.32778
260.85012;     0.32873
261.85012;     0.33126
262.85012;     0.33278
263.85012;     0.33528
264.85012;     0.33735
265.85012;     0.33906
266.85012;     0.34142
267.85012;     0.34415
268.85012;     0.34645
269.85012;     0.34776
270.85012;     0.34998
271.85012;     0.35257
272.85012;     0.35495
273.85012;     0.35732
274.85012;     0.35890
275.85012;     0.36150
276.85012;     0.36379
277.85012;     0.36558
278.85012;     0.36921
279.85012;     0.37075
280.85012;     0.37324
281.85012;     0.37563
282.85012;     0.37779
283.85012;     0.37972
284.85012;     0.38257
285.85012;     0.38507
286.85012;     0.38657
287.85012;     0.38857
288.85012;     0.39066
289.85012;     0.39244
290.85012;     0.39503
291.85012;     0.39805
292.85012;     0.39924
293.85012;     0.40092
294.85012;     0.40261
295.85012;     0.40494
296.85012;     0.40626
297.85012;     0.40869
298.85012;     0.40945
299.85012;     0.41162
300.85012;     0.41230
301.85012;     0.41383
302.85012;     0.41559
303.85012;     0.41704
304.85012;     0.41886
305.85012;     0.42108
306.85012;     0.42161
307.85012;     0.42352
308.85012;     0.42566
309.85012;     0.42689
310.85012;     0.42790
311.85012;     0.42941
312.85012;     0.43034
313.85012;     0.43183
314.85012;     0.43407
315.85012;     0.43461
316.85012;     0.43549
317.85012;     0.43676
318.85012;     0.43667
319.85012;     0.43696
320.85012;     0.43772
321.85012;     0.43702
322.85012;     0.43716
323.85012;     0.43587
324.85012;     0.43537
325.85012;     0.43409
326.85012;     0.43127
327.85012;     0.42843
328.85012;     0.42546
329.85012;     0.42137
330.85012;     0.41772
331.85012;     0.41150
332.85012;     0.40517
333.85012;     0.39774
334.85012;     0.38869
335.85012;     0.37959
336.85012;     0.36929
337.85012;     0.36013
338.85012;     0.35013
339.85012;     0.34043
340.85012;     0.33099
341.85012;     0.32513
342.85012;     0.31867
343.85012;     0.31593
344.85012;     0.31607
345.85012;     0.31804
346.85012;     0.32426
347.85012;     0.33237
348.85012;     0.34365
349.85012;     0.35707
350.85012;     0.37323
351.85012;     0.38945
352.85012;     0.40558
353.85012;     0.42240
354.85012;     0.43701
355.85012;     0.44976
356.85012;     0.46115
357.85012;     0.47047
358.85012;     0.47859
359.85012;     0.48373
360.85012;     0.48994
361.85012;     0.49438
362.85012;     0.49835
363.85012;     0.50220
364.85012;     0.50536
365.85012;     0.50809
366.85012;     0.51116
367.85012;     0.51306
368.85012;     0.51558
369.85012;     0.51896
370.85012;     0.52190
371.85012;     0.52494
372.85012;     0.52777
373.85012;     0.52997
374.85012;     0.53284
375.85012;     0.53595
376.85012;     0.53914
377.85012;     0.54067
378.85012;     0.54423
379.85012;     0.54644
380.85012;     0.54922
381.85012;     0.55137
382.85012;     0.55357
383.85012;     0.55660
384.85012;     0.55887
385.85012;     0.56176
386.85012;     0.56328
387.85012;     0.56523
388.85012;     0.56785
389.85012;     0.56993
390.85012;     0.57185
391.85012;     0.57481
392.85012;     0.57687
393.85012;     0.57883
394.85012;     0.58006
395.85012;     0.58207
396.85012;     0.58505
397.85012;     0.58565
398.85012;     0.58826
399.85012;     0.59037
400.85012;     0.59181
401.85012;     0.59419
402.85012;     0.59634
403.85012;     0.59771
404.85012;     0.59873
405.85012;     0.60066
406.85012;     0.60279
407.85012;     0.60502
408.85012;     0.60560
409.85012;     0.60795
410.85012;     0.60880
411.85012;     0.61213
412.85012;     0.61323
413.85012;     0.61337
414.85012;     0.61648
415.85012;     0.61895
416.85012;     0.62050
417.85012;     0.62244
418.85012;     0.62336
419.85012;     0.62554
420.85012;     0.62641
421.85012;     0.62895
422.85012;     0.63079
423.85012;     0.63265
424.85012;     0.63429
425.85012;     0.63530
426.85012;     0.63657
427.85012;     0.63950
428.85012;     0.64103
429.85012;     0.64284
430.85012;     0.64536
431.85012;     0.64770
432.85012;     0.64943
433.85012;     0.65103
434.85012;     0.65316
435.85012;     0.65441
436.85012;     0.65608
437.85012;     0.65735
438.85012;     0.65927
439.85012;     0.66095
440.85012;     0.66327
441.85012;     0.66509
442.85012;     0.66655
443.85012;     0.66883
444.85012;     0.67102
445.85012;     0.67298
446.85012;     0.67521
447.85012;     0.67608
448.85012;     0.67888
449.85012;     0.68136
450.85012;     0.68259
451.85012;     0.68570
452.85012;     0.68769
453.85012;     0.69043
454.85012;     0.69203
455.85012;     0.69477
456.85012;     0.69741
457.85012;     0.69873
458.85012;     0.70154
459.85012;     0.70349
460.85012;     0.70679
461.85012;     0.70871
462.85012;     0.71105
463.85012;     0.71407
464.85012;     0.71633
