#FILE:                        13WaT18 2 K min air 14.2.07.dsu
#FORMAT:                      NETZSCH4                       
#IDENTITY:                    13 WaT18 2 K min air           
#DECIMAL:                     POINT                          
#SEPARATOR:                   SEMICOLON                      
#MTYPE:                       TG                             
#INSTRUMENT:                  NETZSCH STA 449C               
#PROJECT:                     vtt                            
#DATE/TIME:                   14.2.2007 13:56:34             
#CORR. FILE:                  correction 2Kmin air 800 C.bsu 
#LABORATORY:                  EO                             
#OPERATOR:                    TL                             
#REMARK:                                                     
#SAMPLE:                      13 WaT18                       
#SAMPLE MASS /mg:             12.524                         
#MATERIAL:                    Empty crucibles                
#REFERENCE:                   al2o3                          
#REFERENCE MASS /mg:          40.312                         
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3               
#SAMPLE CRUCIBLE MASS /mg:    0.000                          
#REFERENCE CRUCIBLE MASS /mg: 0.000                          
#PROTECTIVE GAS:              N2                             
#PURGE GAS 1:                 air                            
#FLOW RATE 1 /(ml/min):       40                             
#PURGE GAS 2:                                                
#FLOW RATE 2:                                                
#DSC RANGE /æm:               5000                           
#TG RANGE /æm:                5000                           
#CORR. CODE:                  020                            
#EXO:                         +1                             
#RANGE:                       20.0/2.00(K/min)/800.0         
#SEGMENT:                     S1/1                           

##Temp./øC;Mass/%
 23.45900;100.00000
 24.45900; 99.87597
 25.45900; 99.86670
 26.45900; 99.85010
 27.45900; 99.83268
 28.45900; 99.80692
 29.45900; 99.79545
 30.45900; 99.77526
 31.45900; 99.75822
 32.45900; 99.74269
 33.45900; 99.72287
 34.45900; 99.70601
 35.45900; 99.68714
 36.45900; 99.66323
 37.45900; 99.64626
 38.45900; 99.62682
 39.45900; 99.60458
 40.45900; 99.57741
 41.45900; 99.54940
 42.45900; 99.52377
 43.45900; 99.49436
 44.45900; 99.45712
 45.45900; 99.42678
 46.45900; 99.39259
 47.45900; 99.35615
 48.45900; 99.32162
 49.45900; 99.28122
 50.45900; 99.24444
 51.45900; 99.19949
 52.45900; 99.15916
 53.45900; 99.12094
 54.45900; 99.07038
 55.45900; 99.02966
 56.45900; 98.98531
 57.45900; 98.94012
 58.45900; 98.89569
 59.45900; 98.85310
 60.45900; 98.80857
 61.45900; 98.76642
 62.45900; 98.71751
 63.45900; 98.67586
 64.45900; 98.62995
 65.45900; 98.58653
 66.45900; 98.54719
 67.45900; 98.50532
 68.45900; 98.46093
 69.45900; 98.42193
 70.45900; 98.37917
 71.45900; 98.34774
 72.45900; 98.31119
 73.45900; 98.27634
 74.45900; 98.24377
 75.45900; 98.21056
 76.45900; 98.18019
 77.45900; 98.14765
 78.45900; 98.11708
 79.45900; 98.09471
 80.45900; 98.06903
 81.45900; 98.04520
 82.45900; 98.02060
 83.45900; 97.99862
 84.45900; 97.97424
 85.45900; 97.95855
 86.45900; 97.93982
 87.45900; 97.91565
 88.45900; 97.90251
 89.45900; 97.88465
 90.45900; 97.86608
 91.45900; 97.85459
 92.45900; 97.83703
 93.45900; 97.82361
 94.45900; 97.81149
 95.45900; 97.80226
 96.45900; 97.79328
 97.45900; 97.78131
 98.45900; 97.76938
 99.45900; 97.76248
100.45900; 97.75222
101.45900; 97.74084
102.45900; 97.73130
103.45900; 97.72282
104.45900; 97.71622
105.45900; 97.70614
106.45900; 97.69699
107.45900; 97.69876
108.45900; 97.68660
109.45900; 97.67998
110.45900; 97.67541
111.45900; 97.66594
112.45900; 97.66162
113.45900; 97.65374
114.45900; 97.65345
115.45900; 97.64335
116.45900; 97.63583
117.45900; 97.63819
118.45900; 97.63346
119.45900; 97.62400
120.45900; 97.61898
121.45900; 97.61424
122.45900; 97.61174
123.45900; 97.60585
124.45900; 97.59934
125.45900; 97.59698
126.45900; 97.59188
127.45900; 97.58889
128.45900; 97.58309
129.45900; 97.58272
130.45900; 97.56967
131.45900; 97.56683
132.45900; 97.56050
133.45900; 97.55788
134.45900; 97.55833
135.45900; 97.55066
136.45900; 97.54935
137.45900; 97.54185
138.45900; 97.53472
139.45900; 97.52847
140.45900; 97.52540
141.45900; 97.52541
142.45900; 97.51912
143.45900; 97.51275
144.45900; 97.50935
145.45900; 97.50714
146.45900; 97.50237
147.45900; 97.50014
148.45900; 97.49523
149.45900; 97.49411
150.45900; 97.48667
151.45900; 97.47956
152.45900; 97.47972
153.45900; 97.47069
154.45900; 97.46330
155.45900; 97.45619
156.45900; 97.45215
157.45900; 97.44921
158.45900; 97.44690
159.45900; 97.43943
160.45900; 97.42994
161.45900; 97.42050
162.45900; 97.41552
163.45900; 97.40746
164.45900; 97.39805
165.45900; 97.39055
166.45900; 97.38341
167.45900; 97.37624
168.45900; 97.36902
169.45900; 97.35788
170.45900; 97.35144
171.45900; 97.34023
172.45900; 97.33140
173.45900; 97.32436
174.45900; 97.31625
175.45900; 97.30502
176.45900; 97.29609
177.45900; 97.28434
178.45900; 97.27408
179.45900; 97.25702
180.45900; 97.24820
181.45900; 97.23587
182.45900; 97.22442
183.45900; 97.21437
184.45900; 97.19964
185.45900; 97.18639
186.45900; 97.17032
187.45900; 97.15551
188.45900; 97.14187
189.45900; 97.12712
190.45900; 97.11135
191.45900; 97.09690
192.45900; 97.07966
193.45900; 97.06255
194.45900; 97.04375
195.45900; 97.02526
196.45900; 97.00899
197.45900; 96.98778
198.45900; 96.96916
199.45900; 96.94532
200.45900; 96.92527
201.45900; 96.90445
202.45900; 96.88583
203.45900; 96.85765
204.45900; 96.83415
205.45900; 96.81002
206.45900; 96.77734
207.45900; 96.75309
208.45900; 96.71769
209.45900; 96.69355
210.45900; 96.65646
211.45900; 96.62254
212.45900; 96.58387
213.45900; 96.54287
214.45900; 96.50071
215.45900; 96.45897
216.45900; 96.41565
217.45900; 96.36710
218.45900; 96.30536
219.45900; 96.25119
220.45900; 96.19159
221.45900; 96.12897
222.45900; 96.06177
223.45900; 95.99289
224.45900; 95.90580
225.45900; 95.82378
226.45900; 95.73822
227.45900; 95.64615
228.45900; 95.55192
229.45900; 95.44319
230.45900; 95.33303
231.45900; 95.21652
232.45900; 95.08256
233.45900; 94.94136
234.45900; 94.79105
235.45900; 94.63091
236.45900; 94.45624
237.45900; 94.27172
238.45900; 94.07527
239.45900; 93.86244
240.45900; 93.63601
241.45900; 93.38664
242.45900; 93.12450
243.45900; 92.84317
244.45900; 92.54543
245.45900; 92.21767
246.45900; 91.87605
247.45900; 91.51791
248.45900; 91.12366
249.45900; 90.71456
250.45900; 90.27665
251.45900; 89.82464
252.45900; 89.32523
253.45900; 88.82029
254.45900; 88.29165
255.45900; 87.75015
256.45900; 87.17065
257.45900; 86.58782
258.45900; 85.97846
