#FILE:                        13WaT18 5 K min N2 16.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 5 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       DSC                             
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   16.2.2007 7:57:49               
#CORR. FILE:                  correction 5K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.322                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/5.00(K/min)/800.0          
#SEGMENT:                     S1/2                            

##Temp./øC;DSC/(mW/mg)
225.04100;     0.39189
226.04100;     0.39624
227.04100;     0.39958
228.04100;     0.40337
229.04100;     0.40701
230.04100;     0.41045
231.04100;     0.41398
232.04100;     0.41760
233.04100;     0.42158
234.04100;     0.42588
235.04100;     0.43045
236.04100;     0.43418
237.04100;     0.43840
238.04100;     0.44267
239.04100;     0.44662
240.04100;     0.45086
241.04100;     0.45457
242.04100;     0.45883
243.04100;     0.46217
244.04100;     0.46559
245.04100;     0.46840
246.04100;     0.47283
247.04100;     0.47505
248.04100;     0.47876
249.04100;     0.48237
250.04100;     0.48440
251.04100;     0.48805
252.04100;     0.49052
253.04100;     0.49338
254.04100;     0.49573
255.04100;     0.49828
256.04100;     0.50048
257.04100;     0.50358
258.04100;     0.50573
259.04100;     0.50884
260.04100;     0.51085
261.04100;     0.51326
262.04100;     0.51540
263.04100;     0.51748
264.04100;     0.51967
265.04100;     0.52115
266.04100;     0.52376
267.04100;     0.52586
268.04100;     0.52779
269.04100;     0.52969
270.04100;     0.53187
271.04100;     0.53382
272.04100;     0.53592
273.04100;     0.53865
274.04100;     0.54049
275.04100;     0.54227
276.04100;     0.54626
277.04100;     0.54911
278.04100;     0.55179
279.04100;     0.55354
280.04100;     0.55663
281.04100;     0.55954
282.04100;     0.56295
283.04100;     0.56521
284.04100;     0.56771
285.04100;     0.57122
286.04100;     0.57331
287.04100;     0.57549
288.04100;     0.57881
289.04100;     0.58150
290.04100;     0.58395
291.04100;     0.58601
292.04100;     0.58868
293.04100;     0.59243
294.04100;     0.59517
295.04100;     0.59714
296.04100;     0.59900
297.04100;     0.60188
298.04100;     0.60472
299.04100;     0.60645
300.04100;     0.60894
301.04100;     0.61114
302.04100;     0.61286
303.04100;     0.61503
304.04100;     0.61821
305.04100;     0.62084
306.04100;     0.62252
307.04100;     0.62544
308.04100;     0.62615
309.04100;     0.62835
310.04100;     0.63013
311.04100;     0.63192
312.04100;     0.63243
313.04100;     0.63424
314.04100;     0.63560
315.04100;     0.63642
316.04100;     0.63778
317.04100;     0.63887
318.04100;     0.63939
319.04100;     0.64129
320.04100;     0.64182
321.04100;     0.64239
322.04100;     0.64388
323.04100;     0.64349
324.04100;     0.64432
325.04100;     0.64413
326.04100;     0.64500
327.04100;     0.64506
328.04100;     0.64499
329.04100;     0.64489
330.04100;     0.64411
331.04100;     0.64248
332.04100;     0.64116
333.04100;     0.64023
334.04100;     0.63889
335.04100;     0.63727
336.04100;     0.63472
337.04100;     0.63056
338.04100;     0.62631
339.04100;     0.62113
340.04100;     0.61577
341.04100;     0.60934
342.04100;     0.60210
343.04100;     0.59305
344.04100;     0.58308
345.04100;     0.57328
346.04100;     0.56114
347.04100;     0.54858
348.04100;     0.53471
349.04100;     0.52080
350.04100;     0.50507
351.04100;     0.48937
352.04100;     0.47286
353.04100;     0.45852
354.04100;     0.44578
355.04100;     0.43279
356.04100;     0.42074
357.04100;     0.41089
358.04100;     0.40487
359.04100;     0.40242
360.04100;     0.40333
361.04100;     0.40924
362.04100;     0.41895
363.04100;     0.43190
364.04100;     0.44943
365.04100;     0.46997
366.04100;     0.49370
367.04100;     0.52006
368.04100;     0.54823
369.04100;     0.57674
370.04100;     0.60469
371.04100;     0.63201
372.04100;     0.65673
373.04100;     0.67913
374.04100;     0.69944
375.04100;     0.71605
376.04100;     0.73041
377.04100;     0.74202
378.04100;     0.75142
379.04100;     0.76027
380.04100;     0.76835
381.04100;     0.77362
382.04100;     0.77914
383.04100;     0.78423
384.04100;     0.78889
385.04100;     0.79450
386.04100;     0.79875
387.04100;     0.80227
388.04100;     0.80632
389.04100;     0.81050
390.04100;     0.81549
391.04100;     0.81894
392.04100;     0.82352
393.04100;     0.82671
394.04100;     0.83001
395.04100;     0.83471
396.04100;     0.83821
397.04100;     0.84216
398.04100;     0.84638
399.04100;     0.85015
400.04100;     0.85335
401.04100;     0.85682
402.04100;     0.86047
403.04100;     0.86399
404.04100;     0.86757
405.04100;     0.87131
406.04100;     0.87283
407.04100;     0.87529
408.04100;     0.87848
409.04100;     0.88098
410.04100;     0.88355
411.04100;     0.88764
412.04100;     0.89087
413.04100;     0.89323
414.04100;     0.89589
415.04100;     0.89778
416.04100;     0.90071
417.04100;     0.90330
418.04100;     0.90526
419.04100;     0.90776
420.04100;     0.90985
421.04100;     0.91162
422.04100;     0.91386
423.04100;     0.91523
424.04100;     0.91769
425.04100;     0.91899
426.04100;     0.92150
427.04100;     0.92403
428.04100;     0.92662
429.04100;     0.92849
430.04100;     0.92971
431.04100;     0.93121
432.04100;     0.93341
433.04100;     0.93518
434.04100;     0.93656
435.04100;     0.93869
436.04100;     0.93912
437.04100;     0.94080
438.04100;     0.94316
439.04100;     0.94367
440.04100;     0.94681
441.04100;     0.94850
442.04100;     0.95009
443.04100;     0.95179
444.04100;     0.95381
445.04100;     0.95526
446.04100;     0.95701
447.04100;     0.95852
448.04100;     0.96105
449.04100;     0.96340
450.04100;     0.96515
451.04100;     0.96671
452.04100;     0.96822
453.04100;     0.96990
454.04100;     0.97273
455.04100;     0.97441
456.04100;     0.97647
457.04100;     0.97892
458.04100;     0.98092
459.04100;     0.98314
460.04100;     0.98515
461.04100;     0.98705
462.04100;     0.98899
463.04100;     0.99184
464.04100;     0.99469
465.04100;     0.99655
466.04100;     0.99827
467.04100;     1.00183
468.04100;     1.00462
469.04100;     1.00617
470.04100;     1.00849
471.04100;     1.01057
472.04100;     1.01391
473.04100;     1.01541
474.04100;     1.01785
475.04100;     1.01984
476.04100;     1.02302
477.04100;     1.02482
478.04100;     1.02599
479.04100;     1.02881
480.04100;     1.03061
481.04100;     1.03390
482.04100;     1.03607
483.04100;     1.03835
484.04100;     1.04042
485.04100;     1.04215
486.04100;     1.04432
487.04100;     1.04754
488.04100;     1.04909
489.04100;     1.05166
490.04100;     1.05386
491.04100;     1.05693
492.04100;     1.05851
493.04100;     1.06093
494.04100;     1.06443
495.04100;     1.06581
496.04100;     1.06789
497.04100;     1.06995
498.04100;     1.07248
499.04100;     1.07485
500.04100;     1.07731
501.04100;     1.07955
502.04100;     1.08142
503.04100;     1.08479
504.04100;     1.08699
505.04100;     1.08777
506.04100;     1.09096
507.04100;     1.09315
508.04100;     1.09524
509.04100;     1.09900
510.04100;     1.10115
511.04100;     1.10308
512.04100;     1.10522
513.04100;     1.10824
514.04100;     1.11085
515.04100;     1.11337
