Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
t peak EHC (s),388,10,0.906527829890366,0.414827665550229,-32.4384068811726,0.0619623333333325,2.18531189015068,0,0,0.00541347141259779,24.3989118753157,-0.0827240589484098,23.980065544386,24.297156178313,-0.00200995937997348,-0.0708880362549722,0,0,0,0,0.00155964579411041,0.00931333275251365,0.541347141259779
t peak MLR (s),104,11,0.79833522417263,0,0,-0.0349349166666677,-1.2320983517905,0,0,0.00626590293962929,24.4938431103374,-0.0400139365132817,24.0687205681133,24.3909286336233,-0.000975977069845788,-0.0344211423377932,0,0,0,0,0.00137348614130293,0.0107798987202203,0.569627539966299
t peak SEA (s),489,12,0.99557808728341,0.368066981381697,3.01602955191018,0.0766942500000016,2.70488290893707,0,0,0.00716285959535731,24.335716287252,0.00953495846401273,23.934285056487,24.2593741057836,0.000231312124461592,0.00815800678781096,0.000115656062230796,0.00407900339390548,0,0,0.001712872279959,0.0123230779308513,0.596904966279776
t peak COY (s),,13,0.996985414100308,0,0,-0.0360971666666702,-1.27308904093497,0,0,0.00815914134604917,24.1992822703726,-0.111150997057663,23.8261383196799,24.1533103217287,-0.0026846645245033,-0.0946838020915321,0.000231312124461592,0.00815800678781096,0,0,0.00171529502003329,0.0140371615808474,0.627626257388398
t peak CO2Y (s),,14,0.977554834626373,3.73267358006516,-60.3076949827737,0.00742566666665567,0.261891326326292,0,0,0.00914641147041251,23.9853931544618,-0.0186874490998077,23.6391807027232,23.9639363288502,-0.00044782484037642,-0.01579406222672,0.000231312124461592,0.00815800678781096,0,0,0.00168186286847739,0.0157357405251028,0.653315105029465
,,15,1.02418729215191,19.3566448803567,-1135.40716793237,0.00150024999999587,0.0529114057979782,0,0,0.0101472825338017,23.9962965851359,-0.0709835080330664,23.6704455252037,23.9970473548921,-0.00170339460368586,-0.0600759894084029,0.000231312124461592,0.00815800678781096,0,0,0.00176210305864611,0.0174577234886645,0.676485502253443
Test Results (between 0 and 1476 s),,16,1.1761288868206,0,0,-0.0097493333333271,-0.343843314288181,0,0,0.0112474406232879,24.0527232374044,-0.0654380556761429,23.7446298900617,24.0758134681577,-0.00157547442217774,-0.0555644502425667,0.000231312124461592,0.00815800678781096,0,0,0.00202355404915771,0.0193505520425664,0.702965038955494
mean HRR (kW/m²),47.9680893908085,17,1.11655437694691,0.654065415335885,-12.0038353474275,0.0484030833333312,1.70709893959692,0,0,0.0123937822551717,24.0757996339121,-0.0240878354731997,23.7880656239188,24.1209984719287,-0.000581022642641118,-0.0204917345926895,0.000231312124461592,0.00815800678781096,0,0,0.00192104057627162,0.0213228493552811,0.729046015010097
mean EHC (MJ/kg),17.6454023555596,18,1.04760437837142,0,0,-0.00686866666667522,-0.242246831723045,0,0,0.0134758616328308,24.0461184677733,-0.0245437672297682,23.7739900051458,24.110529364099,-0.000591763220498938,-0.0208705375078979,0.000231312124461592,0.00815800678781096,0,0,0.00180239661067665,0.0231845679487552,0.748658979601712
mean MLR (g/s),0.0771201835478773,19,2.50457658677198,5.23620819121485,-79.4209879906972,0.0135622500000056,0.478318755731311,0,0,0.0152519521154025,23.9203407409412,-0.0448724675695219,23.6675158637241,24.0041912718185,-0.00107712729437728,-0.0379885481546617,0.000231312124461592,0.00815800678781096,0,0,0.0043098857631026,0.0262407091356449,0.802734321863291
mean SEA (m²/kg),1.44416138341077,20,10.2658283014308,6.37957825584485,-3.44054399105613,0.0456264166666642,1.60917036984779,0,0,0.0216371545595039,24.0769698147881,-0.00649153096106323,23.8386460717422,24.1822298372284,-0.000156979693695915,-0.00553642144656539,0.000231312124461592,0.00815800678781096,0,0,0.0176822727379058,0.0372367883861491,1.0818577279752
mean COY (kg/kg),,21,22.8812355577938,0,0,-0.0381727499999952,-1.34629152853196,0,0,0.0382106864891162,24.1490871166558,0.0159529840895387,23.9277588007157,24.2756537238697,0.000387269117620045,0.0136583592304453,0.000424946683271615,0.0149871864030336,0,0,0.0394723427169239,0.0658140961135639,1.81955649948172
mean CO2Y (kg/kg),,22,38.669871575705,17.5789662710937,8.34651134909676,0.062372583333327,2.19978074815994,0,0,0.0689862400558655,24.1243688207397,0.0214467014426017,23.9225292255756,24.2738248610107,0.000520593474664097,0.0183604949800415,0.000878877979413686,0.030996613508277,0,0,0.0668389298480874,0.11896973239607,3.13573818435752
Total heat release (MJ/m²),70.8008999408333,23,55.8256201108031,36.1325485721864,55.5881787081876,0.0438075833333317,1.54502304201635,0,0,0.11623398589912,24.0305345211238,0.100610350899404,23.8481229366337,24.2041077218973,0.00243518377110707,0.0858850169678728,0.00235676660229927,0.0831193694822342,0,0,0.0966982967953347,0.200738345717781,5.05365156083128
Total oxygen consumed (g),124.660930356801,24,74.0484973768521,46.3333170314786,-1.12385472935619,0.045314500000007,1.59816957043123,0,0,0.181171044642947,24.0372329826084,-0.00210092905464243,23.8747118005954,24.2401879401333,-5.09269151334191E-05,-0.00179611043004229,0.0035743584878528,0.126061877966171,0,0,0.128552418890308,0.313363703560602,7.54879352678946
Mass lost (g),113.768373,25,93.0686259633422,14.0450974738033,-8.54848321539231,0.187885333333327,6.62641367473114,0,0,0.264729606313044,23.796889873399,-0.0666942966405119,23.689963776359,24.0820384848728,-0.00160613461841833,-0.0566457860766852,0.0035743584878528,0.126061877966171,0,0,0.161973065052244,0.458626445531878,10.5891842525218
Average specific MLR (g/s·m²),5.93334954419025,26,109.778259665232,16.1197721395715,-0.85498420869839,0.193095333333337,6.81016199948285,0,0,0.366153049127332,23.3156256973245,-0.00694985113793805,23.3220985383822,23.7549635951392,-0.000165093460773355,-0.00582258096823569,0.0035743584878528,0.126061877966171,0,0,0.191509855001177,0.635367905558589,14.0828095818204
