Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
,,424,25.9404679034164,10.1630735007047,-44.859725035203,0.0723714166666674,2.55242352636903,0,0,53.5031694757049,22.1538284617058,-0.132609258198539,23.9587783373355,24.4821658470793,-0.00324656185207481,-0.114501017566298,2.49080768755646,87.8467830837432,0,0,0.0447794263143038,94.834128451826,126.186720461568
,,425,26.002248238231,0,0,-0.0130696666666661,-0.460946133408552,0,0,53.5291408337757,22.2065904606368,-0.0741839487086649,24.0129467631513,24.5385867926344,-0.00182036926400791,-0.0642014976372967,2.49080768755646,87.8467830837432,0,0,0.0448860738875396,94.878961201927,125.950919608884
,,426,26.0578633578629,57.0547429602014,-86.7387055394668,0.0129497499999996,0.456716865345264,0,0,53.5551708895737,22.2178082065603,-0.0457647619516881,24.0228752392963,24.5438740235432,-0.00112324455205968,-0.0396150296980912,2.49080768755646,87.8467830837432,0,0,0.0449823335550964,94.9238954056483,125.716363590549
,,427,26.1820662237298,7.66106015874545,-29.8975659056509,0.0969012500000002,3.41755131551104,0,0,53.5812908543645,22.2428490358432,-0.117929968588683,24.0452900980414,24.5663722536849,-0.00289711150821496,-0.102176465691435,2.49080768755646,87.8467830837432,0,0,0.0451973092338157,94.9689852270427,125.483116754952
,,428,26.1708256526125,0,0,-0.0411272499999994,-1.45049199407489,0,0,53.6074673003027,22.2528163543963,-0.0317265104907516,24.0534188421913,24.5737894044479,-0.000779640587337738,-0.0274966702171735,2.49080768755646,87.8467830837432,0,0,0.0451777668379804,95.0141727650786,125.251091823137
,,429,26.0055356327719,41.8873773934942,-135.737105248297,0.0176034166666672,0.620844207754363,0,0,53.6335554809454,22.1565766090789,-0.0976718064116001,23.9457532177452,24.4639359974943,-0.00238943682081304,-0.0842715955707497,2.49080768755646,87.8467830837432,0,0,0.044892119865076,95.0592077084302,125.019942846027
,,430,25.9708081608276,17.9966834249247,-57.4936086629593,0.0409173333333327,1.44308857068959,0,0,53.6595436528422,22.207660893311,-0.0959588530512791,23.9986361247236,24.5155613619241,-0.00235248515019849,-0.0829683695492166,2.49080768755646,87.8467830837432,0,0,0.0448316053518882,95.1040695710386,124.789636401959
,,431,26.0016860426467,0,0,-0.0172281666666668,-0.60760974348123,0,0,53.6855298999439,22.1782253053237,-0.0255605925879799,23.9619914155912,24.4789850273687,-0.000625697363251831,-0.022067340172527,2.49080768755646,87.8467830837432,0,0,0.044885299118337,95.1489280232738,124.560394199406
,,432,26.2168192784141,9.67587731663943,-36.9451415683349,0.07682525,2.70950306835015,0,0,53.7116391526045,22.2723733270994,-0.115460294370434,24.0620089713694,24.5826476777071,-0.00283831973727272,-0.100102974440034,2.49080768755646,87.8467830837432,0,0,0.0452573023812612,95.1939993240236,124.332498038436
,,433,26.1236651428354,0,0,-0.00367249999999878,-0.129523171333808,0,0,53.7378093948151,22.2127161994689,-0.0657713798557685,23.9955456841373,24.5145382744591,-0.00161235500883823,-0.05686516924731,2.49080768755646,87.8467830837432,0,0,0.0450963553249105,95.2391761528766,124.105795369088
,,434,26.0834712612614,0,0,-0.00731475000000037,-0.257979473795597,0,0,53.7639129630172,22.2224073840578,-0.0516123237050602,24.0067697439193,24.5266179693421,-0.00126587574602403,-0.044645402624816,2.49080768755646,87.8467830837432,0,0,0.0450266604500372,95.2842376607641,123.879983785754
,,435,26.0140474175968,9.01903578556881,-30.3606957892276,0.0817828333333329,2.88434906303636,0,0,53.7899617223566,22.2081899049171,-0.101295899766783,23.9927940260983,24.5121839021232,-0.00248298372361442,-0.0875708444527905,2.49080768755646,87.8467830837432,0,0,0.0449065015286651,95.3292042417535,123.655084419211
,,436,26.1099621656464,0,0,-0.0208343333333338,-0.734793444781469,0,0,53.8160237271482,22.2985809320417,-0.0692159783272583,24.0869130693352,24.6048813290331,-0.00170305093281512,-0.0600638686892543,2.49080768755646,87.8467830837432,0,0,0.0450720137824437,95.374193499409,123.431247080615
,,437,26.10639277723,50.2560024988473,-127.129657149868,0.0147290000000012,0.519468152641644,0,0,53.8421319046196,22.2597573678985,-0.0762450030594025,24.039996814909,24.5588910095747,-0.00187249272016055,-0.0660398081456074,2.49080768755646,87.8467830837432,0,0,0.0450661033483783,95.4192625579744,123.208539827505
,,438,26.2087850949092,13.0370897326974,-44.420940494631,0.0570007500000006,2.01032482189464,0,0,53.8682894935557,22.2658181591053,-0.10309093428574,24.0447140664144,24.5611017248256,-0.00253202692389936,-0.0893005192882614,2.49080768755646,87.8467830837432,0,0,0.0452434312988525,95.464417325298,122.986962314054
,,439,26.1270254073511,0,0,-0.0221296666666677,-0.780477769156652,0,0,53.8944573988068,22.2150047774302,-0.0629520686856472,23.9859412574013,24.4977538855985,-0.00154218428525028,-0.0543903606281398,2.49080768755646,87.8467830837432,0,0,0.0451021600514473,95.5095901209732,122.766417764936
,,440,25.9570806370229,12.7840636038404,-34.9211611083179,0.0575706666666658,2.03042486656789,0,0,53.920499451829,22.1511062554204,-0.0823154898702018,23.9121195461101,24.4235262275671,-0.00201043452577991,-0.0709047938837521,2.49080768755646,87.8467830837432,0,0,0.0448082224748711,95.5545453122364,122.546589663248
,,441,26.0083128508248,33.9338769494114,-118.998020838775,0.0217316666666666,0.766440948954876,0,0,53.946482148573,22.2117697961674,-0.105609645066967,23.9747757773011,24.4866396551327,-0.00258602532286129,-0.0912049560154225,2.49080768755646,87.8467830837432,0,0,0.0448965428533957,95.5993976949005,122.327623919667
,,442,25.7454992665344,0,0,-0.0328019166666659,-1.15687087065902,0,0,53.9723590546316,22.1683148712215,-0.069381991339672,23.9237918520159,24.4343404873974,-0.0016953032000872,-0.0597906186106794,2.49080768755646,87.8467830837432,0,0,0.0444416056708825,95.6440667691626,122.109409625863
,,443,25.8484688558077,12.0882485238281,-34.8083569130136,0.0606297500000004,2.13831381815618,0,0,53.9981560386928,22.2624770605338,-0.0860215160310975,24.0223219516218,24.5336524502063,-0.0021104219775468,-0.0744311905744092,2.49080768755646,87.8467830837432,0,0,0.0446193127628131,95.6885972283795,121.892000087343
,,444,25.9259322449244,0,-572.021696956607,0.0046405833333331,0.163665914274286,0,0,54.0240432392432,22.2840566297291,-0.108099404621827,24.043146679347,24.5562347219972,-0.00265451435320175,-0.0936204540171315,2.49080768755646,87.8467830837432,0,0,0.0447533408401091,95.7332835551809,121.675773061358
,,445,25.8793332113454,36.9666889163364,-42.5439121622882,0.0198498333333341,0.700071712398043,0,0,54.0499458719713,22.2355971183999,-0.0344677204939534,23.9898544795974,24.5008823811709,-0.000844489565769426,-0.029783789439565,2.49080768755646,87.8467830837432,0,0,0.044672959788577,95.7779967054953,121.460552521284
,,446,25.7605779674744,8.65952938344568,-35.1624565668541,0.0843481666666663,2.97482424584419,0,0,54.0757658275607,22.2065273427475,-0.121220445245001,23.9579253914319,24.4669019398172,-0.00296588874691042,-0.104602128338521,2.49080768755646,87.8467830837432,0,0,0.0444674605988548,95.822566915689,121.246111720988
,,447,25.810133920043,0,0,-0.0105027499999998,-0.370415108979326,0,0,54.1015511835045,22.2661291849017,-0.0844717918050938,24.0189496509924,24.5293553256745,-0.00207203859618355,-0.0730774704162921,2.49080768755646,87.8467830837432,0,0,0.0445528871600689,95.8670770895685,121.032552983231
,,448,25.7243106165324,28.9942699417106,-45.0340279316618,0.0251562500000001,0.887220497989704,0,0,54.1273184057728,22.2287583917203,-0.0462647448826309,23.9757418124004,24.487053112038,-0.00113288726515587,-0.0399551126880113,2.49080768755646,87.8467830837432,0,0,0.0444044893920226,95.9115557778445,120.819907155743
,,449,25.7950110701632,17.1320895080206,-69.1101582886567,0.0426913333333331,1.50565469892548,0,0,54.1530780666161,22.2248549921314,-0.120522219683568,23.9709023670384,24.4801731329441,-0.00295040480422046,-0.1040560345708,2.49080768755646,87.8467830837432,0,0,0.0445269765784819,95.9560215108298,120.608191685114
,,450,25.7376468080529,0,0,-0.0326490833333324,-1.15148068467703,0,0,54.1788443955552,22.2668730636788,-0.0433387615716088,24.0125017661141,24.5233027704149,-0.00106280957171539,-0.0374835850925931,2.49080768755646,87.8467830837432,0,0,0.0444273280684775,96.0004986631532,120.397431990123
,,451,25.6636527300377,11.8320673095211,-37.0262706461623,0.0614995833333321,2.16899144153672,0,0,54.2045450453243,22.3035786421691,-0.0927050724530606,24.0513902544177,24.5628438322955,-0.00227710021712617,-0.0803096641435483,2.49080768755646,87.8467830837432,0,0,0.0442989175409188,96.0448617859579,120.187461297836
,,452,25.5881278932691,28.50480903972,-90.3683862992023,0.0254527500000007,0.897677576356093,0,0,54.2301709356359,22.2552329702455,-0.0938550034767106,23.996420392219,24.5072064266434,-0.00230012394437708,-0.081121673992279,2.49080768755646,87.8467830837432,0,0,0.04416843457186,96.0890954620143,119.97825428238
,,453,25.5102850558539,0,0,-0.0139042499999991,-0.490380545954682,0,0,54.2557201421105,22.2615779596703,-0.0163184724290988,24.0006144816378,24.5099703593552,-0.000399965275547168,-0.0141061323110379,2.49080768755646,87.8467830837432,0,0,0.0440335689822452,96.1331964637914,119.769801638213
,,454,25.414272473868,8.84670158156241,-33.1557853697617,0.0814536666666664,2.87273988384942,0,0,54.2811824208753,22.194829943992,-0.110513298937937,23.9284636978479,24.437423509516,-0.0027006602895801,-0.0952479470120654,2.49080768755646,87.8467830837432,0,0,0.0438677263834125,96.1771471114742,119.562075816906
,,455,25.5220405999482,0,0,-0.012957,-0.456972561190659,0,0,54.3066505774122,22.2162048230499,-0.0574872276710665,23.9496839825729,24.4602032993855,-0.00140614927595235,-0.0495926245310131,2.49080768755646,87.8467830837432,0,0,0.0440542347288057,96.2211080920303,119.355275994313
,,456,25.633723791619,0,0,-0.00412699999999984,-0.145552655709947,0,0,54.332228459608,22.2948899293048,-0.0354547542702239,24.0313524253562,24.5407761156264,-0.000870087186780114,-0.0306865763835831,2.49080768755646,87.8467830837432,0,0,0.0442471390187588,96.2652587789041,119.14962381493
,,457,25.5575810170927,7.80606360522597,-30.3208882316499,0.0928329166666672,3.27406773882582,0,0,54.3578241120124,22.1917566727873,-0.115244027829592,23.9159766682479,24.4244890037184,-0.00281477649046808,-0.0992726419717881,2.49080768755646,87.8467830837432,0,0,0.0441159565270187,96.309440326677,118.944910529568
,,458,25.5640119677546,0,0,-0.0301021666666659,-1.06165502809713,0,0,54.3833849085048,22.2627674124747,-0.0618898017463623,23.9901724055805,24.4983578400115,-0.00151619850982975,-0.053473884102058,2.49080768755646,87.8467830837432,0,0,0.0441266149383619,96.3535616124097,118.741015084072
,,459,25.4740894394323,45.0822219056898,-60.9051097343025,0.0160216666666667,0.565058427970189,0,0,54.4089039592084,22.2757144222446,-0.0398092730994297,24.0041239952801,24.511911182667,-0.000975801366459755,-0.0344149455618168,2.49080768755646,87.8467830837432,0,0,0.0439707850592198,96.3976103124085,118.537917122458
,,460,25.3369157880407,14.8367256401797,-42.65908321202,0.048420583333332,1.70771613646512,0,0,54.4343094618221,22.2847001939599,-0.0842354293657637,24.0129867300109,24.5214835271046,-0.00206557769359116,-0.0728496047679748,2.49080768755646,87.8467830837432,0,0,0.0437331528846984,96.4414622813804,118.335455351787
,,461,25.3214587759577,0,0,-0.0440473333333326,-1.55347863911027,0,0,54.4596386491041,22.2600893613605,-0.0588242753962556,23.9872865600452,24.4953478363382,-0.00144092108705183,-0.0508189704116468,2.49080768755646,87.8467830837432,0,0,0.0437065459095786,96.4851821307776,118.133706397189
,,462,25.3517737212536,12.4410324271559,-38.6493391659761,0.0577784999999998,2.03775481413556,0,0,54.4849752653527,22.2408962578187,-0.0912598619667576,23.9647150497687,24.469693410393,-0.00223310084300134,-0.078757876948626,2.49080768755646,87.8467830837432,0,0,0.0437591753960687,96.5289149914304,117.932846894703
,,463,25.335960139828,54.4340942226022,-135.131899348016,0.013197166666666,0.46544285344805,0,0,54.5103191322833,22.2543019901623,-0.0728532553619336,23.9728587472051,24.478771591183,-0.0017833581976789,-0.0628961768243952,2.49080768755646,87.8467830837432,0,0,0.0437316989436484,96.5726604286003,117.732870696076
,,464,25.2795577762857,0,0,-0.0090591666666661,-0.319502245420967,0,0,54.5356268912413,22.2513284865877,-0.0624319566994519,23.9654344667915,24.4698306610688,-0.00152769940827476,-0.053879502302136,2.49080768755646,87.8467830837432,0,0,0.0436340365011699,96.6163432963227,117.533678644917
,,465,25.3206112007657,11.3227342404861,-34.6644713184798,0.0634070000000005,2.23626296113425,0,0,54.5609269757299,22.2962378857913,-0.0896517537413412,24.0114044925909,24.5167555699171,-0.00219797013289086,-0.0775188732768168,2.49080768755646,87.8467830837432,0,0,0.0437048393174298,96.660012734232,117.335326829527
,,466,25.3314883894398,0,0,-0.0453015000000008,-1.59771108132894,0,0,54.586253025525,22.2689063925729,-0.0493389598468299,23.9748456085027,24.4802707816116,-0.00120783109713346,-0.042598261167153,2.49080768755646,87.8467830837432,0,0,0.0437238576989975,96.7037270827402,117.137882029024
,,467,25.2585255305432,19.455691926553,-65.5097480212041,0.0368108333333333,1.29825891702523,0,0,54.611548032485,22.1955948733481,-0.0988436829743646,23.8936555618882,24.3967883789056,-0.00241146841611721,-0.0850486145206041,2.49080768755646,87.8467830837432,0,0,0.0435979795602876,96.7473880013698,116.941216343651
,,468,25.3652717993308,16.387418279548,-46.1805166797975,0.0438877499999997,1.54785039147914,0,0,54.6368599311499,22.2520032772688,-0.0828678626281936,23.9509142268821,24.4577198763687,-0.00202675897091377,-0.0714805308215337,2.49080768755646,87.8467830837432,0,0,0.0437824790311271,96.7910782306655,116.745427203312
,,469,25.4029256239141,0,0,-0.0122794999999994,-0.43307822529447,0,0,54.6622440298615,22.2764400550438,-0.0718815940247241,23.97601832615,24.4803530192039,-0.00175968679730835,-0.0620613245858908,2.49080768755646,87.8467830837432,0,0,0.0438475296453854,96.8348932350038,116.550626929342
,,470,25.2861263232362,7.95174169106975,-16.0754314372363,0.0901642500000004,3.17994815546309,0,0,54.6875885558351,22.2471627871576,-0.0592880649744019,23.9429955812209,24.447234356369,-0.00144942921896484,-0.0511190385471128,2.49080768755646,87.8467830837432,0,0,0.0436454398661202,96.8786397197595,116.356571395394
,,471,25.2305637085802,0,0,-0.0151845,-0.535532905410172,0,0,54.712846900851,22.2536818430108,-0.0353648625594176,23.9484363412547,24.4540200425866,-0.000864813057831319,-0.0305005663338971,2.49080768755646,87.8467830837432,0,0,0.0435491703633726,96.9222370248743,116.163156902019
,,472,25.2662455720681,23.0394161974124,-51.5542978916169,0.0310944999999991,1.09665302955488,0,0,54.7380953054913,22.2577243156139,-0.0655400845598747,23.953038754492,24.4591554398492,-0.00160305511579084,-0.0565371769694166,2.49080768755646,87.8467830837432,0,0,0.0436109394299306,96.9658170797709,115.970540901465
,,473,25.2015234361061,15.6206207722318,-37.1672672239154,0.045744916666667,1.61334967435519,0,0,54.7633291899954,22.3388854903035,-0.0692765845571565,24.0360175076336,24.5423984561912,-0.00170021354188576,-0.0599637984723763,2.49080768755646,87.8467830837432,0,0,0.0434983209459737,97.0093717099589,115.778708646925
,,474,25.2257052098501,0,0,-0.0616673333333337,-2.17490771437306,0,0,54.7885428043184,22.3610197286237,-0.0396590733057299,24.055907933692,24.5632971270412,-0.000974157601391752,-0.0343569726102755,2.49080768755646,87.8467830837432,0,0,0.0435400546102595,97.052890897737,115.587643047085
,,475,25.0732764724992,9.01139443988877,-29.788823967451,0.0788920833333333,2.78239695751334,0,0,54.8136922951596,22.3651124762158,-0.0956630333373251,24.0591710575243,24.5664631452283,-0.00235010238284214,-0.0828843331749362,2.49080768755646,87.8467830837432,0,0,0.0432760597668425,97.0962989549256,115.397246937178
,,476,25.0740982986406,78.4317333754595,-236.465480374472,0.0090645833333336,0.319693282546858,0,0,54.8387659825451,22.3659409965227,-0.0872608759101479,24.056959322088,24.5638269150343,-0.00214346105231116,-0.0755964256299343,2.49080768755646,87.8467830837432,0,0,0.0432774776119275,97.139575723615,115.207491559969
,,477,25.0138940184795,0,0,-0.000282833333332899,-0.00997507700264157,0,0,54.8638099787037,22.2659734450251,-0.0448033527649761,23.9480465767699,24.4526486575158,-0.0010955606438407,-0.0386386627580131,2.49080768755646,87.8467830837432,0,0,0.0431738638458867,97.1828013943439,115.018469557031
,,478,24.9894257989388,10.0148907053005,-33.4424583356268,0.0707496666666668,2.49522701088618,0,0,54.8888116386124,22.2720457188739,-0.0967477714018087,23.9504786173358,24.4557858592209,-0.00236604277975949,-0.0834465253494917,2.49080768755646,87.8467830837432,0,0,0.0431314523724688,97.225954052453,114.830149871574
,,479,25.0152776711241,0,0,-0.0214901666666664,-0.75792363217417,0,0,54.9138139903474,22.2290502014363,-0.0395068015755169,23.9012218541287,24.4068753385858,-0.000964237581079887,-0.0340071094406393,2.49080768755646,87.8467830837432,0,0,0.0431764985712509,97.2691080279249,114.642617933919
,,480,24.9674312043135,15.6234938249998,-49.5637536334742,0.045311666666666,1.59806964331897,0,0,54.9388053447852,22.1689191574412,-0.092274111062606,23.8344961007468,24.3385306834872,-0.00224581628338874,-0.0792063300905954,2.49080768755646,87.8467830837432,0,0,0.043094029424853,97.3122432919229,114.455844468302
,,481,24.9438382964783,0,-85.9650445523904,0.00633650000000048,0.22347816886508,0,0,54.9637609795356,22.2222545567029,-0.0223288820484293,23.8915869714092,24.3951982739136,-0.000544717504806263,-0.0192113107429732,2.49080768755646,87.8467830837432,0,0,0.0430528278540754,97.3553167205624,114.269773346228
,,482,25.0356677114696,0,-641.513598539176,0.0030843333333331,0.108779478498028,0,0,54.9887507325395,22.3227598709993,-0.0807545320283094,23.9968612307653,24.5019285737079,-0.00197864177576085,-0.0697835146984851,2.49080768755646,87.8467830837432,0,0,0.0432112042593095,97.3984487366191,114.084545088256
,,483,25.0964717466721,12.2084601412023,-22.0106064192885,0.0582862499999991,2.05566234041049,0,0,55.0138168022686,22.3769750767872,-0.0522391256394279,24.0521644931478,24.5585218493386,-0.00128291570840623,-0.0452463747057288,2.49080768755646,87.8467830837432,0,0,0.0433161511540841,97.4417124143258,113.900241826643
,,484,24.990835116524,0,0,-0.0188059166666658,-0.663254449695485,0,0,55.0388604557002,22.2827854128424,0.00840162515101049,23.9476428347914,24.4523735509903,0.000205439676627904,0.00724552714353897,2.49091040739477,87.850405847315,0,0,0.0431338238418989,97.4849374018238,113.716653834091
,,485,25.010021297136,20.2653181069939,-67.6760098726565,0.0349925000000004,1.23412922339001,0,0,55.063860883907,22.1881703151698,-0.0972630507361185,23.8452046925129,24.34791791483,-0.00236815277546896,-0.0835209415062764,2.49101312723308,87.8540286108868,0,0,0.0431676608025995,97.528088144146,113.533733781252
,,486,24.8559667866744,17.7861940626393,-21.6638337133323,0.0396243333333328,1.39748653923019,0,0,55.0887938779489,22.2084160496568,-0.0352245101166259,23.8682828945416,24.3698199206411,-0.000858414968334974,-0.0302749160025031,2.49101312723308,87.8540286108868,0,0,0.0429007486563364,97.5711223488755,113.351427732405
,,487,24.8314659322817,0,0,-0.0089025833333339,-0.313979802967267,0,0,55.1136375943084,22.3100872819798,-0.0782728711204239,23.9757843577954,24.47879625298,-0.00191602566429262,-0.0675751451044868,2.49101312723308,87.8540286108868,0,0,0.0428576741295096,97.6140015602684,113.169687051968
,,488,24.6850450702497,18.6236379128985,-62.24527748421,0.0375823333333337,1.32546848181328,0,0,55.1383958498097,22.2729771568756,-0.095737095582069,23.9344530854953,24.4348625014646,-0.00233932276683743,-0.0825041534470421,2.49101312723308,87.8540286108868,0,0,0.0426043647765598,97.6567325797214,112.988516085676
,,489,24.7634851401305,0,389.017651022892,0.000597333333332895,0.0210669864334096,0,0,55.1631201149149,22.2857360181523,0.00950433736856119,23.9450087226249,24.449175276489,0.000232373210210836,0.00819542957645611,2.49112931383819,87.858126325675,0,0,0.042740111066662,97.6994048176431,112.808016594918
,,490,24.8372334058923,54.5516802347623,-214.782996711559,0.0129095000000001,0.455297312548499,0,0,55.1879204741879,22.333210068685,-0.113167879398144,23.9955747897344,24.5011315118217,-0.0027727410960479,-0.097790121183886,2.49124550044329,87.8622240404632,0,0,0.0428675149558752,97.7422086306543,112.628409130996
,,491,24.9010498973859,16.2087964796782,-41.1249448301323,0.0435593333333344,1.5362676635866,0,0,55.2127896158395,22.3522957911448,-0.0730590907391657,24.0147521001388,24.5195383907289,-0.00179137518017072,-0.063178922909315,2.49124550044329,87.8622240404632,0,0,0.0429779007363263,97.7851313385004,112.449673352015
,,492,24.901370847239,0,0,-0.0140383333333339,-0.495109449577975,0,0,55.2376908262118,22.3436161969947,-0.043132630791847,24.0040351608409,24.5087519656007,-0.00105712694970121,-0.0372831681491573,2.49124550044329,87.8622240404632,0,0,0.0429785115833047,97.8281095446603,112.271729321569
,,493,24.8587343112414,21.41370382299,-94.5516647125637,0.0329155833333331,1.16087971126942,0,0,55.2625708787911,22.3437049642453,-0.127002666171447,24.0020428183603,24.505180032602,-0.00311222319915176,-0.109763109231564,2.49124550044329,87.8622240404632,0,0,0.0429046800678212,97.8710511404858,112.094464257183
,,494,24.8820518770068,34.1683720595218,-60.1530857171898,0.0206479166666661,0.728218828619106,0,0,55.2874412718852,22.4114472178003,-0.0505452560723987,24.0697998709008,24.5727492082012,-0.00124203590113136,-0.0438046096187966,2.49124550044329,87.8622240404632,0,0,0.0429446294396078,97.9139757952395,111.917897311508
,,495,24.6688872878534,0,0,-0.0233527499999992,-0.823613952176031,0,0,55.3122167414676,22.3825888924188,-0.0743233825693185,24.0350037157005,24.5371153034616,-0.00182368140784666,-0.0643183116261077,2.49124550044329,87.8622240404632,0,0,0.0425757024844709,97.9567359612016,111.741852002965
,,496,24.5968364530834,15.3719159083689,-58.6709323668969,0.0453696666666666,1.60011521008206,0,0,55.3368496033381,22.391799818782,-0.108445103034529,24.0420416469141,24.5458814646625,-0.00266188064450865,-0.0938802512699673,2.49124550044329,87.8622240404632,0,0,0.042450889446377,97.999249257167,111.566229038988
,,497,24.6578868323794,17.4544886146614,-21.3807286840834,0.0400555833333332,1.41269603348146,0,0,55.3614769649808,22.3406700640887,-0.0349728599566311,23.9854358152099,24.4880619027072,-0.000856417559532691,-0.0302044706049478,2.49124550044329,87.8622240404632,0,0,0.0425569154983821,98.0417531596394,111.391301740404
,,498,24.5344981101329,0,-290.983565758125,0.00750291666666773,0.264615809644767,0,0,55.3860731574521,22.2403901895465,-0.0895606081355883,23.8777101602243,24.3770725847216,-0.00218322544525304,-0.0769988518464077,2.49124550044329,87.8622240404632,0,0,0.0423438879174822,98.0842035613473,111.217014372394
,,499,24.474964456355,0,-131.215012226466,0.00772166666666626,0.2723307704968,0,0,55.4105778887353,22.2338418272262,-0.0415756139706187,23.8691058936148,24.3700210125899,-0.00101319858607531,-0.0357338853803804,2.49124550044329,87.8622240404632,0,0,0.0422408449964627,98.1264959278043,111.043242261995
,,500,24.4189093938782,19.8705787277839,-48.9968236209637,0.0348441666666666,1.22889774517411,0,0,55.4350248256604,22.2692122999564,-0.0699440280308733,23.9078344438393,24.4088528563517,-0.00170725348838613,-0.0602120860684957,2.49124550044329,87.8622240404632,0,0,0.0421435683925605,98.1686881344988,110.870049651321
,,501,24.4958100998053,25.7615998356827,-91.8458686611391,0.0269608333333338,0.950865251228531,0,0,55.4594821854073,22.2794926984197,-0.101408485258723,23.9187451346875,24.4184808698267,-0.00247624115732823,-0.0873330449787767,2.49124550044329,87.8622240404632,0,0,0.0422766568367943,98.2108982471135,110.69756923235
,,502,24.4498556547289,20.6661511610196,-16.5149823508624,0.0335452499999995,1.18308704239259,0,0,55.4839550182846,22.3730325069381,-0.022595648259566,24.0156832198024,24.517960509087,-0.000553999211705257,-0.0195386616246476,2.49124550044329,87.8622240404632,0,0,0.0421965142918335,98.2531348326778,110.525806809332
,,503,24.5168927733563,14.3460701089976,-41.7966527033935,0.0484559166666667,1.70896228633232,0,0,55.5084383924986,22.4338553209922,-0.0823867660477779,24.0806541110946,24.5827724220506,-0.00202529512034125,-0.0714289031650295,2.49124550044329,87.8622240404632,0,0,0.0423122127390581,98.2953891961932,110.354748295226
,,504,24.3132595934356,0,0,-0.00328625000000053,-0.115900754743617,0,0,55.532853468682,22.3165161015245,-0.0801295538977329,23.9485090776746,24.44932800628,-0.00195911374624256,-0.0690947924893335,2.49124550044329,87.8622240404632,0,0,0.0419603548504999,98.337525479988,110.184233072782
,,505,24.2085347740698,36.9922015027337,-50.8136277909944,0.0185555,0.654422656415321,0,0,55.5571143658657,22.2775005971961,-0.0386294862691526,23.9057573244561,24.408097583962,-0.000942872270475798,-0.033253589281082,2.49124550044329,87.8622240404632,0,0,0.0417792729634352,98.379395293895,110.014087853199
,,506,24.1641859236075,19.0320253800021,-76.2062909410903,0.0359999166666671,1.26965918976748,0,0,55.5813007262146,22.2843228968446,-0.112376026734856,23.9123842115922,24.4128592464651,-0.00274342012335504,-0.0967560176114494,2.49124550044329,87.8622240404632,0,0,0.0417024485576897,98.4211361546555,109.844467838369
,,507,24.3711183567395,67.4757045100127,-147.977014976162,0.0102409999999993,0.361183607251156,0,0,55.6055683783548,22.4061139391061,-0.0617463798455017,24.0397107880981,24.5428576406034,-0.00151543261037077,-0.0534468720593487,2.49124550044329,87.8622240404632,0,0,0.0420599877941035,98.4630173728314,109.675677274861
,,508,24.2806145226643,12.9546767224816,-27.6956411509999,0.0531431666666665,1.87427405892172,0,0,55.6298942447945,22.3045683610091,-0.0602502990683073,23.9295617637924,24.4286600463031,-0.00147183407362777,-0.051909221754524,2.49124550044329,87.8622240404632,0,0,0.041903906083466,98.5049993197702,109.50766583621
,,509,24.2963050571599,54.0764116587013,-185.045419797993,0.0127393333333326,0.449295807763724,0,0,55.6541827045844,22.2804464730503,-0.0966195353904513,23.8989511283144,24.3983297486036,-0.0023573552846131,-0.0831401313611167,2.49124550044329,87.8622240404632,0,0,0.0419312188452209,98.5469168822346,109.34024106991
,,510,24.0588330971973,0,-122.529993245781,0.00694783333333371,0.245038912793035,0,0,55.6783602736615,22.3217634893274,-0.0348307661018874,23.9412470565231,24.4415517280298,-0.00085131797140619,-0.030024616329484,2.49124550044329,87.8622240404632,0,0,0.0415198272597233,98.5886424052871,109.173255438552
,,511,24.0000455685719,13.0870736260848,-39.815284821936,0.051997666666667,1.83387411535117,0,0,55.7023897129944,22.3762059959797,-0.0845057510182526,23.9971685855312,24.4989469173792,-0.00207030190840943,-0.0730162202302825,2.49124550044329,87.8622240404632,0,0,0.0414177301749499,98.6301111840044,109.006633489226
,,512,23.9592018171319,0,0,-0.0341249166666668,-1.20353095389246,0,0,55.7263693366873,22.3076368188383,-0.039367850946591,23.9220531219791,24.4212200658513,-0.000961410951486331,-0.0339074187587759,2.49124550044329,87.8622240404632,0,0,0.0413474241294419,98.6714937611566,108.840565110717
,,513,23.9491208731156,20.7443248539016,-36.8616957026336,0.0327344166666674,1.15449025416758,0,0,55.7503234980324,22.3282485942715,-0.0493642551465971,23.9440301431396,24.4437215265689,-0.00120664610616991,-0.0425564684407813,2.49124550044329,87.8622240404632,0,0,0.041329850432548,98.7128323984376,108.675094538075
,,514,24.0315019212179,12.6131799169637,-45.0486938752087,0.0540220000000001,1.90526909783452,0,0,55.7743138094296,22.2959726603636,-0.0997166521647165,23.9075878327411,24.4053574573138,-0.00243362054052653,-0.0858298843382426,2.49124550044329,87.8622240404632,0,0,0.041472662716767,98.7542336550122,108.510338150641
