General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)

Test,,0,20.92802981,135.839345,0,0,1.009397,0.978141,110.3803,0.0561,0,0,808.408,354.507,361.738,1063.141,0,0
Standard used,ISO 5660-1,1,20.92766108,137.259665,0,0,1.009887,0.995623,110.3803,0.0523,0,0,847.832,354.525,361.772,1063.101,0,0
Date of test,08/11/2006,2,20.92729235,138.679985,0,0,1.010377,1.013106,110.3803,0.0485,0,0,887.256,354.543,361.806,1063.061,0,0
Time of test,14:52,3,20.92512496,138.461214,0,0,1.011242,0.999229,110.3803,0.0486,0,0,896.795,354.588,361.868,1063.084,0,0
Heat flux (kW/m²),50,4,20.92524185,138.967265,0,0,1.01142,1.002956,110.3803,0.052,0,0,897.039,354.615,361.919,1063.106,0,0
Nominal duct flow rate (l/s),24,5,20.92568441,137.57203,0,0,1.01192,1.010222,110.3803,0.0506,0,0,897.374,354.647,361.98,1063.15,0,0
Sampling interval (s),1,6,20.92574848,137.900807,0,0,1.01279,1.000108,110.3803,0.048,0,0,901.018,354.677,361.967,1063.156,0,0
Separation (mm),105,7,20.92604935,138.230405,0,0,1.013065,1.007066,110.3803,0.0478,0,0,904.276,354.64,361.964,1063.151,0,0
Orientation,Horizontal,8,20.92489861,138.03772,0,0,1.013925,1.005262,110.3803,0.0488,0,0,907.052,354.693,362.021,1063.195,0,0
Edge frame?,No,9,20.9246423,137.548555,0,0,1.015135,1.004895,110.3803,0.0465,0,0,906.722,354.701,362.026,1063.188,0,0
Grid?,Yes,10,20.92524185,137.761503,0,0,1.015322,1.012894,110.3803,0.0495,0,0,923.151,354.728,362.072,1063.184,0,0
Non-scrubbed?,No,11,20.92537976,137.601775,0,0,1.015522,1.005009,110.3803,0.0503,0,0,917.854,354.781,362.112,1063.212,0,0
Substrate used? {Y/N},No,12,20.92597931,138.282266,0,0,1.016086,1.010222,110.3803,0.0497,0,0,898.856,354.772,362.119,1063.218,0,0
Substrate,none,13,20.92611721,137.769131,0,0,1.016626,1.011709,110.3803,0.0488,0,0,910.6,354.79,362.139,1063.285,0,0
Additional specimen preparation details,,14,20.92550791,138.195651,0,0,1.016843,1.008906,110.3803,0.0477,0,0,919.802,354.783,362.158,1063.329,0,0
,,15,20.92507889,138.637167,0,0,1.018232,1.013309,110.3803,0.0498,0,0,911.229,354.775,362.129,1063.351,0,0
Specimen,,16,20.92471125,137.570819,0,0,1.018375,1.012853,110.3803,0.0487,0,0,914.322,354.765,362.129,1063.393,0,0
Sample description,B14,17,20.9258414,137.939776,0,0,1.019275,1.011813,110.3803,0.049,0,0,915.152,354.742,362.096,1063.43,0,0
Material name/ID,Birch 4.06.2.1,18,20.92461833,138.464517,0,0,1.019983,1.013913,110.3803,0.0504,0,0,917.473,354.703,362.055,1063.477,0,0
Specimen number,,19,20.92427357,139.762958,0,0,1.020166,1.016686,110.3803,0.0525,0,0,913.349,354.697,362.055,1063.467,0,0
E (MJ/kg),13.1,20,20.92307446,138.97541,0,0,1.02112,1.011567,110.3803,0.0507,0,0,916.522,354.668,362.069,1063.452,0,0
Initial mass (g),113.78,21,20.92279866,138.521101,0,0,1.021265,1.01681,110.3803,0.0484,0,0,919.604,354.665,362.055,1063.404,0,0
Thickness (mm),20.7,22,20.92369798,139.123392,0,0,1.021858,1.017187,110.3803,0.0489,0,0,905.929,354.692,362.089,1063.348,0,0
Surface area (cm²),283.54,23,20.92390484,138.752189,0,0,1.022842,1.011064,110.3803,0.0494,0,0,916.206,354.702,362.1,1063.405,0,0
Sponsor,,24,20.92360507,138.694393,0,0,1.023598,1.022121,110.3803,0.0486,0,0,912.8,354.695,362.112,1063.455,0,0
Manufacturer,,25,20.92383589,137.964404,0,0,1.023939,1.012343,110.3803,0.05,0,0,910.676,354.697,362.107,1063.495,0,0
Test start time (s),125,26,20.92330529,137.967283,0,0,1.024245,1.017331,110.3803,0.0498,0,0,922.886,354.717,362.136,1063.52,0,0
Time to ignition (s),,27,20.92136873,137.990511,0,0,1.024211,1.02005,110.3803,0.0482,0,0,925.703,354.755,362.162,1063.554,0,0
Time to flameout (s),,28,20.92155457,138.81985,0,0,1.024775,1.014168,110.3803,0.0484,0,0,910.57,354.738,362.168,1063.559,0,0
End of test criterion,ISO 5660-1:2002,29,20.92169247,139.078742,0,0,1.02573,1.023594,110.3803,0.0494,0,0,908.85,354.739,362.161,1063.582,0,0
User EOT time (s),,30,20.92199225,138.828031,0,0,1.026129,1.019768,110.3803,0.0491,0,0,902.136,354.718,362.142,1063.592,0,0
MLR EOT mass (g/m²),150,31,20.92146165,138.780467,0,0,1.025943,1.017638,110.3803,0.0528,0,0,896.139,354.685,362.08,1063.584,0,0
MLR EOT time period (s),60,32,20.91982486,138.235492,0,0,1.026616,1.025378,110.3803,0.0485,0,0,903.75,354.656,362.069,1063.586,0,0
Truncate graphs at EOT?,No,33,20.91918032,137.315786,0,0,1.027135,1.01727,110.3803,0.0485,0,0,913.083,354.638,362.044,1063.574,0,0
Smooth data?,No,34,20.9200107,137.955592,0,0,1.027825,1.023784,110.3803,0.0475,0,0,917.004,354.607,362.017,1063.578,0,0
Correct O2 for pressure?,No,35,20.92021756,138.387107,0,0,1.027942,1.01949,110.3803,0.0508,0,0,914.679,354.608,362.037,1063.555,0,0
,,36,20.91991778,136.853487,0,0,1.028522,1.017586,110.3803,0.0502,0,0,918.674,354.6,362.026,1063.546,0,0
Specifications: apparatus,,37,20.91805017,137.196788,0,0,1.029336,1.027183,110.3803,0.0492,0,0,919.392,354.587,361.984,1063.584,0,0
C-factor (SI units),0.038246,38,20.91733668,137.723381,0,0,1.029047,1.016783,110.3803,0.0491,0,0,902.874,354.585,361.955,1063.625,0,0
OD correction factor,1,39,20.9175675,138.826884,0,0,1.02932,1.026509,110.3803,0.0478,0,0,916.942,354.57,361.926,1063.641,0,0
Duct diameter (m),0.114,40,20.91763646,137.645472,0,0,1.030086,1.025354,110.3803,0.0497,0,0,903.489,354.537,361.894,1063.615,0,0
O2 delay time (s),20,41,20.91673713,139.036625,0,0,1.030523,1.017879,110.3803,0.0464,0,0,908.224,354.528,361.922,1063.527,0,0
CO2 delay time (s),0,42,20.91623049,138.538073,0,0,1.030705,1.031037,110.3803,0.0493,0,0,908.352,354.59,361.96,1063.54,0,0
CO delay time (s),0,43,20.91556199,138.535353,0,0,1.030896,1.021776,110.3803,0.0487,0,0,915.232,354.619,361.98,1063.564,0,0
,,44,20.91512431,138.106728,0,0,1.031144,1.024961,110.3803,0.0494,0,0,913.281,354.613,361.976,1063.57,0,0
Laboratory,,45,20.91475558,137.894793,0,0,1.031591,1.031551,110.3803,0.0489,0,0,919.1,354.6,361.938,1063.606,0,0
Laboratory name,VTT,46,20.91438685,138.506165,0,0,1.031847,1.019436,110.3803,0.049,0,0,900.779,354.6,361.951,1063.616,0,0
Operator,Johan Mangs,47,20.9137211,138.048763,0,0,1.031932,1.029683,110.3803,0.0493,0,0,906.123,354.58,361.937,1063.579,0,0
Filename,C:\CC5\DATA\06110001.CSV,48,20.91388085,138.64265,0,0,1.031732,1.02372,110.3803,0.0492,0,0,910.512,354.577,361.933,1063.601,0,0
Report name,,49,20.91365214,137.698833,0,0,1.032081,1.022773,110.3803,0.048,0,0,912.473,354.584,361.975,1063.595,0,0
,,50,20.91298427,137.496217,0,0,1.032478,1.030928,110.3803,0.049,0,0,903.166,354.612,361.989,1063.575,0,0
,,51,20.91374295,137.656962,0,0,1.032688,1.019661,110.3803,0.0483,0,0,906.744,354.635,362.005,1063.571,0,0
Pre-test conditions,,52,20.91275281,137.973056,0,0,1.033096,1.0259,110.3803,0.0482,0,0,916.485,354.647,362.038,1063.545,0,0
Ambient temperature (°C),N/A,53,20.91277741,138.274665,0,0,1.033159,1.026222,110.3803,0.0498,0,0,913.664,354.66,362.052,1063.583,0,0
Barometric pressure (Pa),N/A,54,20.91194704,138.757808,0,0,1.032403,1.019941,110.3803,0.0487,0,0,917.339,354.7,362.102,1063.615,0,0
Relative humidity (%),N/A,55,20.91143553,136.647515,0,0,1.033517,1.032119,110.3803,0.0471,0,0,915.955,354.724,362.129,1063.692,0,0
,,56,20.91107059,136.355503,0,0,1.033246,1.022511,110.3803,0.048,0,0,918.582,354.759,362.13,1063.712,0,0
,,57,20.91160228,137.886781,0,0,1.033124,1.025117,110.3803,0.0473,0,0,911.267,354.751,362.12,1063.726,0,0
Conditioning,,58,20.91233973,137.342546,0,0,1.033898,1.030874,110.3803,0.0488,0,0,926.004,354.742,362.126,1063.746,0,0
Conditioned? {Y/N},No,59,20.91247764,137.70334,0,0,1.033326,1.024467,110.3803,0.0498,0,0,916.216,354.782,362.174,1063.713,0,0
Conditioning temperature (°C),N/A,60,20.91187809,138.39891,0,0,1.032989,1.027267,110.3803,0.0495,0,0,913.857,354.814,362.196,1063.702,0,0
Conditioning RH (%),N/A,61,20.91174018,137.740984,0,0,1.033561,1.026048,110.3803,0.0493,0,0,919.239,354.843,362.206,1063.701,0,0
,,62,20.9114404,138.173337,0,0,1.033326,1.025304,110.3803,0.048,0,0,896.779,354.819,362.164,1063.694,0,0
Data collected,,63,20.91167123,138.67802,0,0,1.032794,1.027734,110.3803,0.0478,0,0,908.239,354.769,362.139,1063.704,0,0
CO/CO2 data collected?,No,64,20.91233973,138.157135,0,0,1.03302,1.026048,110.3803,0.0495,0,0,906.69,354.793,362.157,1063.719,0,0
Mass data collected?,Yes,65,20.91187809,137.290305,0,0,1.032978,1.026883,110.3803,0.0488,0,0,909.972,354.825,362.184,1063.718,0,0
Smoke data collected?,Yes,66,20.91174018,137.978175,0,0,1.032764,1.027871,110.3803,0.0514,0,0,904.08,354.859,362.217,1063.741,0,0
Soot mass data collected?,No,67,20.91084085,138.834041,0,0,1.032369,1.02532,110.3803,0.0486,0,0,899.853,354.862,362.235,1063.687,0,0
Soot mass ratio (1:x),N/A,68,20.91123355,138.709316,0,0,1.032312,1.028307,110.3803,0.0494,0,0,906.25,354.832,362.219,1063.676,0,0
Soot mass (g),N/A,69,20.91167123,138.720705,0,0,1.03227,1.023497,110.3803,0.0455,0,0,895.507,354.84,362.234,1063.63,0,0
,,70,20.91263951,137.287273,0,0,1.031627,1.026937,110.3803,0.0477,0,0,924.627,354.851,362.277,1063.573,0,0
Comments,,71,20.91224681,137.59418,0,0,1.031575,1.02735,110.3803,0.0482,0,0,915.542,354.858,362.228,1063.554,0,0
Pre-test comments,,72,20.91210891,138.107166,0,0,1.031714,1.020652,110.3803,0.0501,0,0,924.398,354.831,362.24,1063.539,0,0
After-test comments,,73,20.91150936,138.308598,0,0,1.031952,1.028848,110.3803,0.0479,0,0,924.634,354.827,362.204,1063.573,0,0
,,74,20.91137145,137.559466,0,0,1.030477,1.01935,110.3803,0.0482,0,0,928.725,354.815,362.192,1063.612,0,0
,,75,20.91197101,138.304867,0,0,1.031134,1.022516,110.3803,0.0489,0,0,923.318,354.775,362.163,1063.677,0,0
,,76,20.91210891,138.500216,0,0,1.03003,1.026346,110.3803,0.0484,0,0,918.059,354.731,362.099,1063.695,0,0
,,77,20.91240869,138.127472,0,0,1.029489,1.016767,110.3803,0.0486,0,0,914.894,354.735,362.119,1063.733,0,0
,,78,20.91217299,136.94069,0,0,1.029387,1.027728,110.3803,0.0494,0,0,923.359,354.726,362.117,1063.813,0,0
,,79,20.91150719,137.528618,0,0,1.030153,1.018753,110.3803,0.0493,0,0,923.764,354.748,362.113,1063.917,0,0
,,80,20.91137145,138.609069,0,0,1.029157,1.019254,110.3803,0.047,0,0,905.392,354.703,362.083,1063.946,0,0
,,81,20.91167123,137.799377,0,0,1.02945,1.02562,110.3803,0.0483,0,0,918.759,354.67,362.061,1063.96,0,0
,,82,20.91233973,136.468472,0,0,1.029274,1.014962,110.3803,0.0489,0,0,925.843,354.697,362.046,1063.991,0,0
,,83,20.91217786,137.576046,0,0,1.02904,1.025521,110.3803,0.0497,0,0,926.387,354.668,362.044,1064.011,0,0
,,84,20.91180913,137.563483,0,0,1.029213,1.020009,110.3803,0.0487,0,0,927.603,354.668,362.015,1064.007,0,0
Events,,85,20.9114404,136.910058,0,0,1.027973,1.018037,110.3803,0.0509,0,0,914.95,354.651,362.001,1064.019,0,0
Number of events,0,86,20.91167123,137.032997,0,0,1.02763,1.025708,110.3803,0.0496,0,0,909.139,354.671,362.021,1063.974,0,0
,,87,20.91203996,137.201859,0,0,1.027924,1.013035,110.3803,0.0493,0,0,907.644,354.704,362.081,1063.916,0,0
,,88,20.91210891,138.731667,0,0,1.027184,1.023698,110.3803,0.048,0,0,918.891,354.742,362.114,1063.892,0,0
,,89,20.91210891,139.202073,0,0,1.026873,1.01849,110.3803,0.0454,0,0,913.851,354.766,362.125,1063.881,0,0
,,90,20.91120958,138.18435,0,0,1.027286,1.016876,110.3803,0.0496,0,0,919.49,354.757,362.134,1063.784,0,0
,,91,20.91100272,138.06471,0,0,1.026936,1.027932,110.3803,0.0492,0,0,911.912,354.789,362.177,1063.709,0,0
,,92,20.91160445,137.826132,0,0,1.026629,1.014852,110.3803,0.0487,0,0,912.289,354.796,362.162,1063.761,0,0
,,93,20.91263951,138.481686,0,0,1.026253,1.022432,110.3803,0.0493,0,0,905.692,354.759,362.108,1063.982,0,0
,,94,20.91254659,137.401804,0,0,1.025779,1.01956,110.3803,0.0493,0,0,903.461,354.607,361.828,1064.459,0,0
,,95,20.91247764,139.006147,0,0,1.025524,1.014933,110.3803,0.0504,0,0,897.908,354.21,361.299,1064.877,0,0
,,96,20.91217786,140.745627,0,0,1.0249,1.021372,110.3803,0.0491,0,0,887.082,353.763,360.761,1065.22,0,0
,,97,20.91150936,141.268457,0,0,1.024555,1.015138,110.3803,0.0501,0,0,889.332,353.281,360.19,1065.45,0,0
,,98,20.91167123,142.841461,0,0,1.025396,1.020991,110.3803,0.0464,0,0,881.409,352.822,359.673,1065.569,0,0
,,99,20.91203996,142.948075,0,0,1.024172,1.017117,110.3803,0.0497,0,0,891.183,352.444,359.203,1065.641,0,0
,,100,20.91210891,141.272604,0,0,1.024288,1.016497,110.3803,0.0488,0,0,894.703,352.122,358.859,1065.739,0,0
,,101,20.91120958,141.299369,0,0,1.024602,1.018455,110.3803,0.0496,0,0,881.598,351.871,358.521,1065.887,0,0
,,102,20.90950384,141.501529,0,0,1.02465,1.012329,110.3803,0.0502,0,0,887.963,351.572,358.138,1066.023,0,0
,,103,20.90915908,142.837831,0,0,1.024228,1.016012,110.3803,0.0486,0,0,888.395,351.279,357.782,1066.159,0,0
,,104,20.91005841,142.300549,0,0,1.023311,1.015628,110.3803,0.0492,0,0,883.765,351.016,357.396,1066.326,0,0
,,105,20.91026527,142.566071,0,0,1.023427,1.017744,110.3803,0.0484,0,0,874.857,350.713,357.042,1066.491,0,0
,,106,20.90996549,142.794802,0,0,1.023286,1.015384,110.3803,0.0499,0,0,877.926,350.471,356.734,1066.663,0,0
,,107,20.90989654,141.169703,0,0,1.023285,1.01922,110.3803,0.0488,0,0,883.156,350.271,356.453,1066.835,0,0
,,108,20.90989654,141.154681,0,0,1.023811,1.018678,110.3803,0.047,0,0,888.267,350.04,356.125,1066.998,0,0
,,109,20.90959676,141.972094,0,0,1.022945,1.009293,110.3803,0.0493,0,0,881.094,349.82,355.846,1067.155,0,0
,,110,20.90952781,143.024073,0,0,1.02293,1.021654,110.3803,0.0385,0,0,896.572,349.591,355.517,1067.296,0,0
,,111,20.91042714,142.535179,0,0,1.022861,1.00941,110.3803,0.0429,0,0,905.189,349.362,355.218,1067.44,0,0
,,112,20.910634,142.673695,0,0,1.022576,1.016431,110.3803,0.0436,0,0,902.212,349.162,354.953,1067.583,0,0
,,113,20.91033422,143.313404,0,0,1.022611,1.017967,110.3803,0.0447,0,0,896.28,348.974,354.705,1067.713,0,0
,,114,20.90936594,143.489972,0,0,1.022515,1.008963,110.3803,0.0476,0,0,889.969,348.799,354.438,1067.856,0,0
,,115,20.90915908,142.821261,0,0,1.022746,1.019797,110.3803,0.0462,0,0,896.061,348.603,354.194,1067.965,0,0
,,116,20.90975863,142.730202,0,0,1.022454,1.009672,110.3803,0.0454,0,0,904.099,348.458,353.962,1068.04,0,0
,,117,20.90989654,143.794852,0,0,1.022959,1.012528,110.3803,0.044,0,0,894.476,348.296,353.721,1068.1,0,0
,,118,20.91049609,143.375731,0,0,1.02293,1.018838,110.3803,0.046,0,0,907.788,348.166,353.538,1068.161,0,0
,,119,20.91003444,142.036503,0,0,1.022775,1.00983,110.3803,0.0466,0,0,897.224,348.057,353.357,1068.213,0,0
,,120,20.90959676,142.851237,0,0,1.023169,1.01945,110.3803,0.0467,0,0,888.066,347.945,353.208,1068.253,0,0
,,121,20.90952781,142.785891,0,0,1.023079,1.013178,110.3803,0.0454,0,0,902.597,347.861,353.043,1068.306,0,0
,,122,20.91013711,142.321073,0,0,1.022226,1.014083,110.3803,0.0469,0,0,901.165,347.781,352.933,1068.353,0,0
,,123,20.91056613,143.070582,0,0,1.021844,1.018104,110.3803,0.0439,0,0,909.243,347.718,352.806,1068.339,0,0
,,124,20.91033422,142.565145,0,0,1.02264,1.011427,110.3803,0.0464,0,0,905.213,347.669,352.73,1068.339,0,0
,,125,20.91026527,142.421832,0,0,1.022858,1.018286,110.3803,0.0451,0,0,904.118,347.624,352.614,1068.329,0,0
,,126,20.90996549,141.835743,0,0,1.022933,1.013942,110.301114,0.0466,0,0,903.209,347.554,352.482,1068.296,0,0
,,127,20.90959676,141.101882,0,0,1.02309,1.015423,110.363827,0.047,0,0,904.16,347.478,352.368,1068.282,0,0
,,128,20.91012736,141.845478,0,0,1.022982,1.01339,110.292377,0.0488,0,0,902.019,347.405,352.223,1068.242,0,0
,,129,20.91206392,142.654069,0,0,1.023348,1.017954,110.302554,0.0447,0,0,903.288,347.308,352.127,1068.208,0,0
,,130,20.91277741,141.955675,0,0,1.023299,1.008997,110.358388,0.0441,0,0,899.228,347.304,352.058,1068.171,0,0
,,131,20.91194704,142.698454,0,0,1.023571,1.017941,110.292586,0.0457,0,0,905.833,347.258,351.995,1068.153,0,0
,,132,20.9114404,142.654801,0,0,1.023876,1.019858,110.352318,0.0456,0,0,902.21,347.245,351.933,1068.108,0,0
,,133,20.91167123,141.268932,0,0,1.024234,1.01068,110.350552,0.0449,0,0,899.827,347.202,351.849,1068.038,0,0
,,134,20.91203996,141.887776,0,0,1.024445,1.021237,110.362582,0.0455,0,0,908.338,347.177,351.802,1067.998,0,0
,,135,20.91061003,141.269534,0,0,1.024055,1.014443,110.071839,0.0473,0,0,898.356,347.12,351.71,1068.055,0,0
,,136,20.91026527,142.343495,0,0,1.025224,1.020558,110.237725,0.0442,0,0,908.638,347.053,351.699,1067.692,0,0
,,137,20.90996549,140.634632,0,0,1.024296,1.02541,110.095244,0.0462,0,0,891.706,347.357,352.075,1066.911,0,0
,,138,20.90959676,139.214295,0,0,1.025234,1.012325,110.130603,0.0447,0,0,900.389,347.737,352.512,1066.216,0,0
,,139,20.90982759,136.901104,0,0,1.025327,1.023145,110.135194,0.045,0,0,898.254,348.085,352.867,1065.618,0,0
,,140,20.90989654,137.144483,0,0,1.025378,1.017114,110.124159,0.0454,0,0,898.72,348.387,353.194,1065.043,0,0
,,141,20.91019631,137.897803,0,0,1.02554,1.017918,110.1328,0.0452,0,0,903.97,348.659,353.522,1064.425,0,0
,,142,20.90996062,138.2826,0,0,1.025072,1.022261,110.129454,0.0463,0,0,908.582,348.962,353.846,1063.79,0,0
,,143,20.90989654,138.0304,0,0,1.024309,1.021447,110.060562,0.046,0,0,919.954,349.186,354.129,1063.199,0,0
,,144,20.90929699,136.693457,0,0,1.023832,1.018608,110.127092,0.0427,0,0,914.845,349.45,354.421,1062.701,0,0
,,145,20.91035819,138.583365,0,0,1.021952,1.021196,110.03148,0.0442,0,0,903.328,349.687,354.727,1062.2,0,0
,,146,20.90913511,139.51806,0,0,1.019615,1.021471,110.059545,0.0449,0,0,906.608,349.946,355.034,1061.684,0,0
,,147,20.90879035,139.344792,0,0,1.013924,1.016406,110.067703,0.0462,0,0,900.625,350.228,355.371,1061.228,0,0
,,148,20.90849058,138.371077,0,0,1.009483,1.021128,109.958803,0.0459,0,0,911.386,350.502,355.734,1060.74,0,0
,,149,20.90752229,138.563964,0,0,1.018886,1.018642,109.974015,0.0457,0,0,907.763,350.795,356.165,1060.297,0,0
,,150,20.90731544,136.116974,0,0,1.026891,1.019113,109.835732,0.0471,0,0,910.747,351.596,357.415,1059.85,0,0
,,151,20.90791499,131.293247,0,0,1.026555,1.025742,109.626909,0.0441,0,0,909.08,353.281,359.838,1059.513,0,0
,,152,20.90685379,125.196245,0,0,1.02367,1.017947,109.436579,0.0441,0,0,906.648,356.047,363.644,1059.227,0,0
,,153,20.9062782,118.96392,0,0,1.014962,1.021232,109.097935,0.0446,0,0,918.36,359.528,368.218,1058.988,0,0
,,154,20.90620925,114.577813,0,0,1.015365,1.022703,108.837861,0.0423,0,0,908.931,363.415,373.408,1058.822,0,0
,,155,20.9052953,111.584032,0,0,1.011458,1.022755,108.52707,0.0457,0,0,910.225,367.647,379.014,1058.639,0,0
,,156,20.90600565,108.871215,0,0,1.008222,1.022755,108.140343,0.0449,0,0,913.847,371.857,384.747,1058.537,0,0
,,157,20.90471037,106.099411,0,0,1.009342,1.02659,107.828667,0.0451,0,0,905.098,376.115,390.573,1058.502,0,0
,,158,20.90466539,104.186205,0,0,1.002385,1.024539,107.419541,0.0469,0,0,905.371,380.408,396.633,1058.418,0,0
,,159,20.90473434,103.026907,0,0,1.00215,1.020932,106.98775,0.0428,0,0,899.776,384.65,402.579,1058.366,0,0
,,160,20.90443456,102.358972,0,0,1.00068,1.02883,106.661809,0.0444,0,0,902.541,388.69,408.295,1058.42,0,0
,,161,20.90346628,101.335968,0,0,0.994243,1.020199,106.202057,0.0458,0,0,898.991,392.628,413.916,1058.493,0,0
,,162,20.90385898,99.371819,0,0,0.989061,1.025205,105.760798,0.0446,0,0,899.659,396.445,419.302,1058.573,0,0
,,163,20.90429666,99.284994,0,0,0.988165,1.028496,105.426556,0.0465,0,0,894.98,400.107,424.643,1058.663,0,0
,,164,20.89477277,99.191458,0,0,0.985371,1.021415,104.886925,0.0468,0,0,905.855,403.541,429.857,1058.706,0,0
,,165,20.84460758,97.855215,0,0,0.969099,1.03008,104.489532,0.0474,0,0,890.402,406.89,434.787,1058.789,0,0
,,166,20.76313455,97.477511,0,0,0.972698,1.02615,104.111638,0.0464,0,0,900.315,410.017,439.527,1058.915,0,0
,,167,20.66030493,98.364318,0,0,0.964581,1.024246,103.596979,0.0442,0,0,904.119,412.851,443.997,1058.978,0,0
,,168,20.54685743,97.926104,0,0,0.968049,1.028269,103.173665,0.0438,0,0,904.521,415.698,448.417,1059.121,0,0
,,169,20.42701065,96.29978,0,0,0.97085,1.027099,102.786853,0.0447,0,0,907.516,418.361,452.55,1059.253,0,0
,,170,20.29500352,95.544712,0,0,0.969945,1.022353,102.214517,0.0439,0,0,898.366,420.879,456.475,1059.398,0,0
,,171,20.16762237,95.821714,0,0,0.962976,1.025202,101.824468,0.0458,0,0,886.842,423.216,460.278,1059.562,0,0
,,172,20.04010016,95.56646,0,0,0.96472,1.029694,101.385753,0.0443,0,0,899.571,425.361,463.69,1059.773,0,0
,,173,19.92145519,95.920184,0,0,0.973349,1.020147,100.851267,0.044,0,0,901.369,427.346,467.007,1059.97,0,0
,,174,19.80434755,95.873545,0,0,0.962529,1.033326,100.457998,0.0454,0,0,910.036,429.194,470.081,1060.173,0,0
,,175,19.69759143,95.835399,0,0,0.964334,1.027206,99.980541,0.0441,0,0,902.05,430.989,473.117,1060.315,0,0
,,176,19.59774741,95.632619,0,0,0.968417,1.021365,99.461876,0.0443,0,0,889.767,432.612,475.885,1060.511,0,0
,,177,19.50463129,94.896257,0,0,0.975832,1.033168,99.09021,0.0441,0,0,891.68,434.252,478.684,1060.737,0,0
,,178,19.42031905,94.713389,0,0,0.96988,1.023892,98.549021,0.0447,0,0,894.174,435.753,481.288,1060.918,0,0
,,179,19.34312659,95.077678,0,0,0.966468,1.025827,98.054872,0.0468,0,0,881.848,437.207,483.717,1061.109,0,0
,,180,19.27586878,95.73258,0,0,0.967463,1.030752,97.662381,0.0481,0,0,891.394,438.487,486.04,1061.329,0,0
,,181,19.22319844,94.923618,0,0,0.96532,1.021708,97.102099,0.0431,0,0,902.837,439.808,488.335,1061.575,0,0
,,182,19.17342347,94.461886,0,0,0.97312,1.03093,96.678676,0.0437,0,0,907.382,441.133,490.799,1061.737,0,0
,,183,19.12215236,93.872354,0,0,0.971623,1.027486,96.292232,0.0453,0,0,902.824,442.381,492.969,1061.897,0,0
,,184,19.07503102,94.050598,0,0,0.979272,1.024957,95.723798,0.0454,0,0,895.246,443.451,494.815,1062.089,0,0
,,185,19.03074199,94.514161,0,0,0.976128,1.031691,95.319086,0.047,0,0,898.224,444.475,496.665,1062.28,0,0
,,186,18.99256242,94.369164,0,0,0.975427,1.024501,94.860238,0.0437,0,0,899.735,445.511,498.376,1062.466,0,0
,,187,18.95809115,93.805355,0,0,0.975698,1.025184,94.313248,0.0441,0,0,890.854,446.297,499.822,1062.617,0,0
,,188,18.92597016,93.438423,0,0,0.974353,1.026258,93.933641,0.0451,0,0,892.77,446.958,501.116,1062.728,0,0
,,189,18.90025566,93.879723,0,0,0.97898,1.027716,93.444993,0.0433,0,0,898.262,447.623,502.429,1062.799,0,0
,,190,18.87592233,94.670742,0,0,0.974493,1.024869,92.931627,0.0431,0,0,898.289,448.238,503.554,1062.807,0,0
,,191,18.85338553,94.834353,0,0,0.965748,1.029557,92.585443,0.046,0,0,897.032,448.762,504.593,1062.845,0,0
,,192,18.83546144,94.346931,0,0,0.973431,1.025613,92.022243,0.0435,0,0,893.978,449.239,505.457,1062.906,0,0
,,193,18.817901,94.762192,0,0,0.979951,1.02284,91.576174,0.0423,0,0,890.55,449.671,506.312,1062.955,0,0
,,194,18.80170366,95.485296,0,0,0.971627,1.028117,91.16488,0.0436,0,0,879.777,450.026,506.99,1063.017,0,0
,,195,18.7828512,94.86579,0,0,0.975855,1.018813,90.635685,0.0418,0,0,887.375,450.338,507.624,1063.113,0,0
,,196,18.76391089,95.242731,0,0,0.978821,1.029006,90.244561,0.0442,0,0,890.637,450.508,508.088,1063.179,0,0
,,197,18.74900346,95.659523,0,0,0.981767,1.026723,89.787381,0.0423,0,0,872.088,450.724,508.714,1063.27,0,0
,,198,18.7358911,96.612318,0,0,0.981991,1.019438,89.268871,0.0442,0,0,889.215,450.954,509.175,1063.374,0,0
,,199,18.72598611,96.2498,0,0,0.981928,1.030445,88.903598,0.0452,0,0,880.363,451.103,509.441,1063.407,0,0
,,200,18.71856719,96.573092,0,0,0.970755,1.019989,88.403266,0.0433,0,0,895.43,451.178,509.687,1063.477,0,0
,,201,18.7121609,95.32691,0,0,0.974347,1.022342,87.976424,0.0464,0,0,902.533,451.314,510.083,1063.568,0,0
,,202,18.70679184,93.839136,0,0,0.982819,1.029678,87.538164,0.0441,0,0,895.865,451.637,510.526,1063.663,0,0
,,203,18.70522696,94.83413,0,0,0.980996,1.01732,87.055204,0.0439,0,0,894.824,451.729,510.774,1063.748,0,0
,,204,18.70418972,95.378137,0,0,0.980016,1.026787,86.643124,0.0431,0,0,898.993,451.743,510.934,1063.8,0,0
,,205,18.7060813,95.86604,0,0,0.978638,1.026534,86.204445,0.0447,0,0,895.871,451.648,510.834,1063.823,0,0
,,206,18.70806285,96.881448,0,0,0.980088,1.018813,85.731093,0.0456,0,0,902.751,451.539,510.811,1063.82,0,0
